Name,Address,Phone
ACHIEVEability,59 N 60th St Philadelphia PA 19139,215-748-8838
Center In The Park,5818 Germantown Ave. Philadelphia PA 19144,215-848-7722
"Congreso De Latinos Unidos, Inc.",216 W. Somerset Street Philadelphia PA 19133,215-763-8870 
Diversified Community Services,1920 South 20th Street Philadelphia PA 19145 ,215-336-3511
Germantown Crisis Ministry,"35 W. Chelten Ave. Philadelphia PA 19144",215-843-2340
Greater Philadelphia Asian Social Services (Gpass),4943 North 5th Street Philadelphia PA 19120,215-456-1662
HACE,"4660 Frankford Ave Philadelphia PA 19124",(215) 426-8025
Hunting Park NAC,"3760 N Delhi St Philadelphia PA 19140",(215) 225-5560
New Kensington CDC,"2513 Frankford Ave Philadelphia PA 19125",(215) 427-0350
Nicetown CDC,"4300 Germantown Ave Philadelphia PA 19140",(215) 329-1824
Southwest CDC,"6328 Paschall Ave Philadelphia PA 19142",(215) 729-0800
Strawberry Mansion NAC,"2829 W Dimond St Philadelphia PA 19121",(215) 235-7505
United Communities,"2029 S 8th St Philadelphia PA 19148",(215) 467-8700
We Never Say Never,"4427 Lancaster Ave Philadelphia PA 19104",(215) 452-0440
